1, 0
2, 840
6, 874
9, 876
30, 878
49, 899
66, 901
95, 903
103, 971
109, 1017
291, 1021
360, 1029
547, 1030
830, 1034
1162, 1051
1442, 1057
1643, 1061
1924, 1064
2473, 1069
2502, 1074
2670, 1076
3115, 1086
3132, 1087
3445, 1091
3806, 1094
4994, 1095
5227, 1142
5537, 1168
5645, 1171
5651, 1173
5693, 1177
5720, 1180
5783, 1183
6155, 1190
6445, 1193
6478, 1196
7569, 1199
8806, 1201
9987, 1201
10176, 1203
11263, 1205
12378, 1205
12398, 1205
12748, 1207
13500, 1208
14785, 1213
16052, 1213
17319, 1213
17543, 1213
18523, 1220
19664, 1227
20920, 1229
21945, 1229
23173, 1232
24419, 1232
25667, 1232
26968, 1232
28268, 1232
29565, 1232
30865, 1232
32108, 1232
33387, 1232
34636, 1232
35902, 1232
37145, 1232
38494, 1232
39781, 1232
41034, 1232
42282, 1232
43627, 1232
44852, 1232
46162, 1232
47404, 1232
48593, 1232
49741, 1232
50961, 1232
52113, 1232
52481, 1232
53778, 1237
53931, 1237
55241, 1240
55856, 1240
57207, 1244
58503, 1244
59739, 1244
61082, 1244
1, 0
2, 795
4, 813
8, 819
9, 821
15, 890
21, 894
41, 896
184, 898
207, 900
665, 904
1885, 912
1922, 932
1932, 937
1951, 944
1954, 971
1962, 972
2007, 973
2307, 975
2318, 977
2335, 981
2592, 984
2611, 987
2636, 989
2663, 990
2779, 1005
2846, 1008
3180, 1019
3819, 1021
4267, 1024
1, 0
2, 840
5, 876
9, 897
11, 966
13, 968
42, 972
329, 974
355, 976
402, 1020
637, 1031
990, 1069
1706, 1079
1772, 1080
1776, 1109
1842, 1110
2374, 1112
2388, 1128
2480, 1131
2559, 1140
2635, 1146
2743, 1148
2962, 1159
3142, 1160
3355, 1164
3420, 1165
3496, 1168
3621, 1169
3955, 1175
4015, 1179
4023, 1181
4364, 1184
5010, 1196
5453, 1198
6696, 1200
7083, 1200
7372, 1203
8465, 1205
9606, 1208
