1, 104
2, 111
3, 128
4, 152
5, 167
6, 167
7, 170
8, 170
9, 182
10, 184
11, 184
12, 186
13, 186
17, 187
26, 191
288, 192
432, 198
433, 203
2235, 204
2653, 205
6144, 206
6235, 207
6637, 210
6785, 211
7039, 213
7119, 218
7213, 223
7263, 227
7475, 239
8137, 243
8205, 244
8377, 245
10101, 247
12417, 248
20380, 250
21808, 252
22766, 254
24418, 255
30639, 256
30989, 258
36737, 261
37031, 330
37123, 333
37140, 334
64072, 334
71696, 336
92868, 337
119699, 337
121087, 340
145220, 340
167627, 340
192442, 340
217292, 340
240354, 340
264184, 340
288750, 340
310167, 340
334033, 340
356948, 340
380120, 340
391255, 341
415073, 341
439836, 341
465322, 341
490335, 341
514141, 341
540786, 341
567578, 341
594887, 341
622800, 341
650255, 341
675595, 341
701205, 341
727745, 341
752738, 341
773121, 341
796777, 341
821467, 341
846596, 341
872388, 341
896907, 341
920349, 341
941564, 341
968041, 341
994204, 341
1021431, 341
1049001, 341
1075608, 341
1090223, 344
1117740, 344
1144288, 344
1163903, 344
1184035, 344
1204039, 344
1226554, 344
1241725, 344
1257490, 344
